"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Total Checking – 5692","","05/13/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$5.00","$0.00","Uncleared"
"Total Checking – 5692","","05/13/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$9.07","$0.00","Uncleared"
"Total Checking – 5692","","05/13/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$15.29","$0.00","Uncleared"
"Total Checking – 5692","","05/12/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$1.86","$0.00","Uncleared"
"Total Checking – 5692","","05/12/2026","365 Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$4.68","$0.00","Uncleared"
"Total Checking – 5692","","05/12/2026","Big Shoulders Coffee","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$8.66","$0.00","Uncleared"
"Total Checking – 5692","","05/12/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$14.30","$0.00","Uncleared"
"Total Checking – 5692","","05/12/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$21.46","$0.00","Uncleared"
"Wells Fargo Autograph Visa�� Card – 5212","","05/11/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$2.52","$0.00","Uncleared"
"Total Checking – 5692","","05/11/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Uncleared"
"Total Checking – 5692","","05/11/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Uncleared"
"Total Checking – 5692","","05/11/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$5.00","$0.00","Uncleared"
"Total Checking – 5692","","05/11/2026","Celeste & Disco","Fun Spending: Bars","Fun Spending","Bars","","$14.78","$0.00","Uncleared"
"Total Checking – 5692","","05/10/2026","Cleo","Inflow: Ready to Assign","Inflow","Ready to Assign","","$0.00","$80.00","Uncleared"
"Total Checking – 5692","","05/10/2026","Cleo","Inflow: Ready to Assign","Inflow","Ready to Assign","","$0.00","$80.00","Uncleared"
"Total Checking – 5692","","05/10/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$5.06","$0.00","Uncleared"
"Total Checking – 5692","","05/10/2026","Cleo AI","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$5.99","$0.00","Uncleared"
"Total Checking – 5692","","05/10/2026","Brando's","Fun Spending: Bars","Fun Spending","Bars","","$8.34","$0.00","Uncleared"
"Total Checking – 5692","","05/10/2026","Lifestancehealthill","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","","$40.37","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/09/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/09/2026","Celeste & Disco","Fun Spending: Bars","Fun Spending","Bars","","$13.28","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/09/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$14.84","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/09/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$17.93","$0.00","Uncleared"
"Total Checking – 5692","","05/09/2026","ATM DEP - 330 N DES PLAINES ST CHICAGO IL","Inflow: Ready to Assign","Inflow","Ready to Assign","","$0.00","$100.00","Uncleared"
"Total Checking – 5692","","05/09/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$3.52","$0.00","Uncleared"
"Total Checking – 5692","","05/09/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$8.09","$0.00","Uncleared"
"Total Checking – 5692","","05/09/2026","Brando's","Fun Spending: Bars","Fun Spending","Bars","","$11.10","$0.00","Uncleared"
"Total Checking – 5692","","05/09/2026","Brando's","Fun Spending: Bars","Fun Spending","Bars","","$11.10","$0.00","Uncleared"
"Total Checking – 5692","","05/09/2026","Jewel-Osco","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$19.14","$0.00","Uncleared"
"Total Checking – 5692","","05/09/2026","Kingston Mines","Fun Spending: Bars","Fun Spending","Bars","","$20.00","$0.00","Uncleared"
"Total Checking – 5692","","05/09/2026","Machine Hospitalit","Fun Spending: Bars","Fun Spending","Bars","","$22.79","$0.00","Uncleared"
"Total Checking – 5692","","05/09/2026","Kingston Mines","Fun Spending: Bars","Fun Spending","Bars","","$28.92","$0.00","Uncleared"
"Total Checking – 5692","","05/08/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.50","$0.00","Uncleared"
"Total Checking – 5692","","05/08/2026","Celeste & Disco","Fun Spending: Bars","Fun Spending","Bars","","$13.28","$0.00","Uncleared"
"Total Checking – 5692","","05/07/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$8.09","$0.00","Uncleared"
"Total Checking – 5692","","05/07/2026","Streeter's Tavern","Fun Spending: Bars","Fun Spending","Bars","","$10.84","$0.00","Uncleared"
"Total Checking – 5692","","05/07/2026","Streeter's Tavern","Fun Spending: Bars","Fun Spending","Bars","","$10.84","$0.00","Uncleared"
"Total Checking – 5692","","05/07/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$14.67","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/06/2026","POINTS FOR STATEMENT CREDIT","Inflow: Ready to Assign","Inflow","Ready to Assign","","$0.00","$81.10","Uncleared"
"Amex Gold (Due 20th)","","05/06/2026","Audible","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$1.08","$0.00","Uncleared"
"Total Checking – 5692","","05/06/2026","Transfer : High Yield Savings Account – 8178","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$21.27","Uncleared"
"Total Checking – 5692","","05/06/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$4.50","$0.00","Uncleared"
"High Yield Savings Account – 8178","","05/06/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$21.27","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/05/2026","Proton AG","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$9.99","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/05/2026","Claude.ai","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$23.00","$0.00","Uncleared"
"Total Checking – 5692","","05/05/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$4.50","$0.00","Uncleared"
"Total Checking – 5692","","05/05/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$8.36","$0.00","Uncleared"
"Total Checking – 5692","","05/05/2026","Wingstop","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$16.17","$0.00","Uncleared"
"Total Checking – 5692","","05/05/2026","Fry the Coop","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$19.60","$0.00","Uncleared"
"Total Checking – 5692","","05/05/2026","Beatrix - Streeterville","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$55.24","$0.00","Uncleared"
"Total Checking – 5692","","05/05/2026","PYMT SENT VENMO *FAITH CUMMINS NEW YORK NY 1185","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$70.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/04/2026","American Express Dining Credit","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$10.00","Uncleared"
"Total Checking – 5692","","05/04/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$12.13","$0.00","Uncleared"
"Total Checking – 5692","","05/04/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$17.00","$0.00","Uncleared"
"Total Checking – 5692","","05/04/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$20.30","$0.00","Uncleared"
"Total Checking – 5692","","05/04/2026","Afterpay","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$32.80","$0.00","Uncleared"
"Total Checking – 5692","","05/04/2026","Rental","Bills: 🏠 Rent","Bills","🏠 Rent","","$2,204.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/03/2026","Google One","Subscriptions: Google Subscription","Subscriptions","Google Subscription","","$1.99","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/03/2026","365 Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$3.40","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/03/2026","Netflix","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$9.91","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/03/2026","West Loop","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol","","$10.43","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/03/2026","GrubHub","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$14.52","$0.00","Uncleared"
"Total Checking – 5692","","05/03/2026","Anthropic","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$5.75","$0.00","Uncleared"
"Total Checking – 5692","","05/03/2026","Spotify","Subscriptions: Spotify","Subscriptions","Spotify","","$14.17","$0.00","Uncleared"
"Total Checking – 5692","","05/03/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$31.78","$0.00","Uncleared"
"Total Checking – 5692","","05/03/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$32.32","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/02/2026","Blizzard Entertainment","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$16.53","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/02/2026","Bisous Chicago","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$40.55","$0.00","Uncleared"
"Total Checking – 5692","","05/02/2026","Zelle payment from KIANA GREENLAW 29067762860","Inflow: Ready to Assign","Inflow","Ready to Assign","","$0.00","$300.00","Uncleared"
"Total Checking – 5692","","05/02/2026","Seven Faced Bird","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$13.36","$0.00","Uncleared"
"Total Checking – 5692","","05/02/2026","Schneider Provisions","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$15.66","$0.00","Uncleared"
"Total Checking – 5692","","05/02/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$18.85","$0.00","Uncleared"
"Total Checking – 5692","","05/02/2026","Otter Halal Smash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$23.02","$0.00","Uncleared"
"Total Checking – 5692","","05/02/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$23.51","$0.00","Uncleared"
"Total Checking – 5692","","05/02/2026","Klarna","Wealth Building: Travel","Wealth Building","Travel","","$102.44","$0.00","Uncleared"
"Total Checking – 5692","","05/01/2026","VENMO *Faith Cummins Visa Direct NY 04/14","Bills: 🏠 Rent","Bills","🏠 Rent","","$300.00","$0.00","Uncleared"
"Total Checking – 5692","","05/01/2026","Department of Education","Bills: 🎓 Student loans","Bills","🎓 Student loans","","$253.22","$0.00","Uncleared"
"Total Checking – 5692","","05/01/2026","Transfer : Amex Gold (Due 20th)","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$100.00","$0.00","Uncleared"
"Total Checking – 5692","","05/01/2026","Ynab","Subscriptions: YNAB","Subscriptions","YNAB","","$14.99","$0.00","Uncleared"
"Total Checking – 5692","","05/01/2026","Matchbox","Fun Spending: Bars","Fun Spending","Bars","","$12.51","$0.00","Uncleared"
"Total Checking – 5692","","05/01/2026","Schneider Provision","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$4.47","$0.00","Uncleared"
"Total Checking – 5692","","05/01/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/01/2026","Apple","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$2.17","$0.00","Uncleared"
"Amex Gold (Due 20th)","","05/01/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$100.00","Uncleared"
"Total Checking – 5692","","04/30/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$44.24","$0.00","Uncleared"
"Total Checking – 5692","","04/30/2026","ComEd","Bills: Electricity","Bills","Electricity","","$39.91","$0.00","Uncleared"
"Total Checking – 5692","","04/30/2026","Matchbox","Fun Spending: Bars","Fun Spending","Bars","","$30.15","$0.00","Uncleared"
"Total Checking – 5692","","04/30/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$24.53","$0.00","Uncleared"
"Total Checking – 5692","","04/30/2026","Uber Eats","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$21.75","$0.00","Uncleared"
"Total Checking – 5692","","04/30/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$11.17","$0.00","Uncleared"
"Total Checking – 5692","","04/30/2026","Seven Faced Bird","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$8.36","$0.00","Uncleared"
"Total Checking – 5692","","04/30/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$8.19","$0.00","Uncleared"
"Total Checking – 5692","","04/30/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$4.50","$0.00","Uncleared"
"Total Checking – 5692","","04/29/2026","Illinois State Lottery","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$15.00","$0.00","Uncleared"
"Total Checking – 5692","","04/29/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$7.08","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/29/2026","Paramount+","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$3.26","$0.00","Uncleared"
"Total Checking – 5692","","04/28/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$35.44","$0.00","Uncleared"
"Total Checking – 5692","","04/28/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$10.52","$0.00","Uncleared"
"Total Checking – 5692","","04/28/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$10.44","$0.00","Uncleared"
"Total Checking – 5692","","04/28/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$6.06","$0.00","Uncleared"
"Wells Fargo Autograph Visa�� Card – 5212","","04/28/2026","Getsauce.com","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$23.12","$0.00","Uncleared"
"Wells Fargo Autograph Visa�� Card – 5212","","04/28/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$18.79","$0.00","Uncleared"
"Wells Fargo Autograph Visa�� Card – 5212","","04/28/2026","Thedatadb","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$14.14","$0.00","Uncleared"
"Total Checking – 5692","","04/27/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$32.72","$0.00","Uncleared"
"Total Checking – 5692","","04/27/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$4.50","$0.00","Uncleared"
"Total Checking – 5692","","04/27/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$4.50","$0.00","Uncleared"
"Credit Card – 8072","","04/27/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$16.03","$0.00","Uncleared"
"Total Checking – 5692","","04/26/2026","Seven Faced Bird","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$21.12","$0.00","Uncleared"
"Total Checking – 5692","","04/26/2026","Wingstop","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$20.48","$0.00","Uncleared"
"Total Checking – 5692","","04/26/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$1.64","$0.00","Uncleared"
"Total Checking – 5692","","04/25/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$32.81","$0.00","Uncleared"
"Total Checking – 5692","","04/25/2026","Al's Beef","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$30.75","$0.00","Uncleared"
"Total Checking – 5692","","04/25/2026","Dr. B's Restaurant","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$28.85","$0.00","Uncleared"
"Total Checking – 5692","","04/25/2026","Caffe Umbria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$14.91","$0.00","Uncleared"
"Total Checking – 5692","","04/25/2026","R&a Sourdough","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$3.31","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/25/2026","GitHub","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$11.50","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/25/2026","Apple","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$3.26","$0.00","Uncleared"
"Credit Card – 8072","","04/25/2026","Arbella","Fun Spending: Bars","Fun Spending","Bars","","$74.17","$0.00","Uncleared"
"Total Checking – 5692","","04/24/2026","Transfer : Amex Gold (Due 20th)","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$100.00","$0.00","Uncleared"
"Total Checking – 5692","","04/24/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$16.50","$0.00","Uncleared"
"Total Checking – 5692","","04/24/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$13.63","$0.00","Uncleared"
"Total Checking – 5692","","04/24/2026","Wingstop","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$6.48","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/24/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$35.78","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/24/2026","Interest Charge","Irregular Expenses: Interest","Irregular Expenses","Interest","","$30.96","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/24/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$100.00","Uncleared"
"Amex Gold (Due 20th)","","04/23/2026","Pizza Lobo","Fun Spending: Bars","Fun Spending","Bars","","$88.73","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/23/2026","EM Workout Rice","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$14.47","$0.00","Uncleared"
"Total Checking – 5692","","04/22/2026","C&m Deli LLC","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$8.81","$0.00","Uncleared"
"Total Checking – 5692","","04/22/2026","Substation Food Mar","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$6.00","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/22/2026","Blind Barber","Fun Spending: Bars","Fun Spending","Bars","","$53.52","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/22/2026","Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$33.40","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/22/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$26.82","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/22/2026","Cloudflare","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$10.46","$0.00","Uncleared"
"Total Checking – 5692","","04/21/2026","Transfer : Amex Gold (Due 20th)","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$686.10","$0.00","Uncleared"
"Total Checking – 5692","","04/21/2026","VENMO *Dane Koval Visa Direct NY 04/21","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$22.95","$0.00","Uncleared"
"Total Checking – 5692","","04/21/2026","Tock Llc - Payroll Money in DEPOSIT","Inflow: Ready to Assign","Inflow","Ready to Assign","","$0.00","$3,134.13","Uncleared"
"Amex Gold (Due 20th)","","04/21/2026","Transfer : Total Checking – 5692","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$686.10","Uncleared"
"Total Checking – 5692","","04/20/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$58.34","$0.00","Uncleared"
"Total Checking – 5692","","04/20/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$39.49","$0.00","Uncleared"
"Total Checking – 5692","","04/20/2026","Afterpay","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$32.80","$0.00","Uncleared"
"Total Checking – 5692","","04/20/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$23.69","$0.00","Uncleared"
"Total Checking – 5692","","04/20/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$16.69","$0.00","Uncleared"
"Total Checking – 5692","","04/20/2026","Apple","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$450.00","Uncleared"
"Amex Gold (Due 20th)","","04/20/2026","Anthropic","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$17.25","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/20/2026","OpenAI","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses","","$11.50","$0.00","Uncleared"
"Savor – 7573","","04/20/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$9.83","$0.00","Uncleared"
"Savor – 7573","","04/20/2026","Amazon","Monthly Living / Lifestyle: Home Buys","Monthly Living / Lifestyle","Home Buys","","$41.61","$0.00","Uncleared"
"Savor – 7573","","04/20/2026","Interest Charge","Irregular Expenses: Interest","Irregular Expenses","Interest","","$97.53","$0.00","Uncleared"
"Total Checking – 5692","","04/19/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$20.37","$0.00","Uncleared"
"Wells Fargo Autograph Visa�� Card – 5212","","04/19/2026","Interest Charge","Irregular Expenses: Interest","Irregular Expenses","Interest","","$113.25","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/19/2026","Paytronix","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$24.80","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/19/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$21.21","$0.00","Uncleared"
"Credit Card – 8072","","04/19/2026","Interest Charge","Irregular Expenses: Interest","Irregular Expenses","Interest","","$83.85","$0.00","Uncleared"
"Total Checking – 5692","","04/18/2026","Zaynamediterra","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$34.62","$0.00","Uncleared"
"Total Checking – 5692","","04/18/2026","Otter Halal Smash","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$17.52","$0.00","Uncleared"
"Total Checking – 5692","","04/18/2026","BWS Beverage","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol","","$14.69","$0.00","Uncleared"
"Total Checking – 5692","","04/18/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$13.44","$0.00","Uncleared"
"Total Checking – 5692","","04/18/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$13.42","$0.00","Uncleared"
"Total Checking – 5692","","04/18/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$9.65","$0.00","Uncleared"
"Total Checking – 5692","","04/18/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$2.97","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","Sushi X","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$77.37","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","Matchbox","Fun Spending: Bars","Fun Spending","Bars","","$76.60","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","Binny's Beverage Depot","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol","","$57.25","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","Brass Monkey Brasserie","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$44.80","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","Otter","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$33.04","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","Pie Eyed Pizzeria","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$29.23","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","gangnam market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$14.65","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","Matchbox","Fun Spending: Bars","Fun Spending","Bars","","$13.90","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","Pure Green","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$12.01","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/18/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$10.71","$0.00","Uncleared"
"Savor – 7573","","04/18/2026","222 SUBSCRIPTION","Fun Spending: General Entertainment","Fun Spending","General Entertainment","","$32.22","$0.00","Uncleared"
"Total Checking – 5692","","04/17/2026","Transfer : Credit Card – 8072","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$145.99","$0.00","Uncleared"
"Total Checking – 5692","","04/17/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$15.53","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/17/2026","Uber","Wealth Building: Travel","Wealth Building","Travel","","$9.99","$0.00","Uncleared"
"Amex Gold (Due 20th)","","04/17/2026","Transfer : High Yield Savings Account – 8178","Uncategorized: Uncategorized","Uncategorized","Uncategorized","","$0.00","$632.43","Uncleared"
"Savor – 7573","","04/17/2026","CVS Pharmacy","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$10.52","$0.00","Uncleared"
