"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Mar 2026","Bills: Public Transit","Bills","Public Transit",$87.25,-$87.25,$0.00
"Mar 2026","Bills: 🏠 Rent","Bills","🏠 Rent",$2504.00,-$2504.00,$0.00
"Mar 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket",$68.50,$0.00,$68.50
"Mar 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans",$253.22,-$253.22,$0.00
"Mar 2026","Subscriptions: Costco","Subscriptions","Costco",$38.42,-$70.92,$0.00
"Mar 2026","Subscriptions: Prime","Subscriptions","Prime",$7.49,$0.00,$7.49
"Mar 2026","Subscriptions: Spotify","Subscriptions","Spotify",$14.17,-$14.17,$0.00
"Mar 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold",$40.63,$0.00,$44.25
"Mar 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription",$4.16,-$4.16,$0.00
"Mar 2026","Subscriptions: YNAB","Subscriptions","YNAB",$14.99,$0.00,$16.17
"Mar 2026","Monthly Living / Lifestyle: Needs Bucket","Monthly Living / Lifestyle","Needs Bucket",$0.00,$0.00,$0.00
"Mar 2026","Monthly Living / Lifestyle: Home Buys","Monthly Living / Lifestyle","Home Buys",$894.06,-$894.06,$0.00
"Mar 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest",$0.00,$0.00,$0.00
"Mar 2026","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses",$80.02,-$85.45,-$5.43
"Mar 2026","Monthly Living / Lifestyle: Amazon / Random Online Buys","Monthly Living / Lifestyle","Amazon / Random Online Buys",$0.00,$0.00,$0.00
"Mar 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health",$12.63,-$156.05,$0.00
"Mar 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut",$65.00,$0.00,$65.00
"Mar 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries",$326.40,-$445.37,-$118.97
"Mar 2026","Fun Spending: Fun Bucket Week 4","Fun Spending","Fun Bucket Week 4",$0.00,$0.00,$0.00
"Mar 2026","Fun Spending: Fun Bucket Week 3","Fun Spending","Fun Bucket Week 3",$0.00,$0.00,$0.00
"Mar 2026","Fun Spending: Fun Bucket Week 2","Fun Spending","Fun Bucket Week 2",$0.00,$0.00,$0.00
"Mar 2026","Fun Spending: Fun Bucket Week 1","Fun Spending","Fun Bucket Week 1",$0.00,$0.00,$0.00
"Mar 2026","Fun Spending: Charity","Fun Spending","Charity",$0.00,$0.00,$0.00
"Mar 2026","Fun Spending: Amex Credit","Fun Spending","Amex Credit",$0.00,-$244.93,-$244.93
"Mar 2026","Fun Spending: New PC Parts!","Fun Spending","New PC Parts!",$0.00,$0.00,$0.00
"Mar 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport",$162.33,-$188.62,-$26.29
"Mar 2026","Fun Spending: Holidays","Fun Spending","Holidays",$0.00,$0.00,$0.00
"Mar 2026","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol",$144.28,-$144.28,$0.00
"Mar 2026","Fun Spending: Fun Clothing","Fun Spending","Fun Clothing",$160.75,-$259.94,-$99.19
"Mar 2026","Fun Spending: General Entertainment","Fun Spending","General Entertainment",$106.15,-$126.15,-$20.00
"Mar 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout",$729.95,-$963.61,-$233.66
"Mar 2026","Fun Spending: Bars","Fun Spending","Bars",$487.47,-$704.24,-$192.63
"Mar 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA",$0.00,$0.00,$0.00
"Mar 2026","Wealth Building: Holdover ","Wealth Building","Holdover ",$0.00,$0.00,$0.00
"Mar 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund",$0.00,$1.42,$1001.57
"Mar 2026","Wealth Building: Travel","Wealth Building","Travel",$1967.50,-$1973.39,-$5.89
"Mar 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July",$0.00,$0.00,$0.00
"Mar 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity",$0.00,$0.00,$0.00
"Mar 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund",$0.00,$0.00,$0.00
"Mar 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings",$0.00,$0.00,$0.00
"Mar 2026","Short-Term Savings: Christmas ","Short-Term Savings","Christmas ",$0.00,$0.00,$0.00
"Mar 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips",$0.00,$0.00,$0.00
"Mar 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips",$0.00,$0.00,$0.00
"Mar 2026","Irregular Expenses: Interest","Irregular Expenses","Interest",$288.49,-$290.01,-$1.52
"Mar 2026","Irregular Expenses: Phoenix Move Out Expenses (Rental + Flight + Extra)","Irregular Expenses","Phoenix Move Out Expenses (Rental + Flight + Extra)",$0.00,$0.00,$0.00
"Mar 2026","Irregular Expenses: Move In Fees","Irregular Expenses","Move In Fees",$0.00,$0.00,$0.00
"Mar 2026","Irregular Expenses: Macbook","Irregular Expenses","Macbook",$0.00,$0.00,$0.00
"Mar 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement",$0.00,$0.00,$0.00
"Mar 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements",$0.00,$0.00,$0.00
"Mar 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates",$446.76,-$596.63,-$149.87
"Mar 2026","Irregular Expenses: Medical","Irregular Expenses","Medical",$0.00,$0.00,$0.00
"Mar 2026","Hidden Categories: Delta SkyMiles® Platinum Card - Delta SkyMiles® Platinum Card","Hidden Categories","Delta SkyMiles® Platinum Card - Delta SkyMiles® Platinum Card",$0.00,$0.00,$0.00
"Mar 2026","Hidden Categories: Bilt (Due 14th)","Hidden Categories","Bilt (Due 14th)",$0.00,$0.00,$0.00
"Mar 2026","Hidden Categories: Chase Card (Due 16th)","Hidden Categories","Chase Card (Due 16th)",$0.00,$0.00,$0.00
"Mar 2026","Hidden Categories: Chase Freedom Unlimited","Hidden Categories","Chase Freedom Unlimited",$0.00,$0.00,$0.00
"Apr 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)",$242.25,$116.56,$358.81
"Apr 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072",$0.00,-$66.39,$88.33
"Apr 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573",$0.00,-$71.83,$220.93
"Apr 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212",$49.77,$1.46,$167.46
"Apr 2026","Bills: Electricity","Bills","Electricity",$0.00,-$39.91,-$35.64
"Apr 2026","Bills: Public Transit","Bills","Public Transit",$0.00,-$13.50,-$13.50
"Apr 2026","Bills: 🏠 Rent","Bills","🏠 Rent",$2504.00,-$2504.00,$0.00
"Apr 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket",-$68.50,$0.00,$0.00
"Apr 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans",$253.34,$0.00,$253.34
"Apr 2026","Subscriptions: Costco","Subscriptions","Costco",$5.42,$0.00,$5.42
"Apr 2026","Subscriptions: Prime","Subscriptions","Prime",-$7.27,$0.00,$0.22
"Apr 2026","Subscriptions: Spotify","Subscriptions","Spotify",$14.17,-$14.17,$0.00
"Apr 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold",-$44.25,$0.00,$0.00
"Apr 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription",$4.16,-$4.16,$0.00
"Apr 2026","Subscriptions: YNAB","Subscriptions","YNAB",-$1.18,-$14.99,$0.00
"Apr 2026","Monthly Living / Lifestyle: Needs Bucket","Monthly Living / Lifestyle","Needs Bucket",$0.00,$0.00,$0.00
"Apr 2026","Monthly Living / Lifestyle: Home Buys","Monthly Living / Lifestyle","Home Buys",$101.32,-$101.32,$0.00
"Apr 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest",$0.00,$0.00,$0.00
"Apr 2026","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses",$186.48,-$218.88,-$32.40
"Apr 2026","Monthly Living / Lifestyle: Amazon / Random Online Buys","Monthly Living / Lifestyle","Amazon / Random Online Buys",$0.00,$0.00,$0.00
"Apr 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health",$0.00,$0.00,$0.00
"Apr 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut",$8.95,-$73.95,$0.00
"Apr 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries",$534.62,-$630.15,-$95.53
"Apr 2026","Fun Spending: Fun Bucket Week 4","Fun Spending","Fun Bucket Week 4",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: Fun Bucket Week 3","Fun Spending","Fun Bucket Week 3",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: Fun Bucket Week 2","Fun Spending","Fun Bucket Week 2",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: Fun Bucket Week 1","Fun Spending","Fun Bucket Week 1",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: Charity","Fun Spending","Charity",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: Amex Credit","Fun Spending","Amex Credit",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: New PC Parts!","Fun Spending","New PC Parts!",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport",$114.15,-$114.15,$0.00
"Apr 2026","Fun Spending: Holidays","Fun Spending","Holidays",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol",$169.28,-$169.28,$0.00
"Apr 2026","Fun Spending: Fun Clothing","Fun Spending","Fun Clothing",$0.00,$0.00,$0.00
"Apr 2026","Fun Spending: General Entertainment","Fun Spending","General Entertainment",$198.03,-$198.03,$0.00
"Apr 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout",$653.89,-$849.52,-$195.63
"Apr 2026","Fun Spending: Bars","Fun Spending","Bars",$1121.36,-$1293.34,-$171.98
"Apr 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA",$0.00,$0.00,$0.00
"Apr 2026","Wealth Building: Holdover ","Wealth Building","Holdover ",$0.00,$0.00,$0.00
"Apr 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund",-$982.43,$2.13,$21.27
"Apr 2026","Wealth Building: Travel","Wealth Building","Travel",$14.99,-$14.99,$0.00
"Apr 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July",$0.00,$0.00,$0.00
"Apr 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity",$0.00,$0.00,$0.00
"Apr 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund",$0.00,$0.00,$0.00
"Apr 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings",$0.00,$0.00,$0.00
"Apr 2026","Short-Term Savings: Christmas ","Short-Term Savings","Christmas ",$0.00,$0.00,$0.00
"Apr 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips",$0.00,$0.00,$0.00
"Apr 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips",$0.00,$0.00,$0.00
"Apr 2026","Irregular Expenses: Interest","Irregular Expenses","Interest",$294.63,-$325.59,-$30.96
"Apr 2026","Irregular Expenses: Phoenix Move Out Expenses (Rental + Flight + Extra)","Irregular Expenses","Phoenix Move Out Expenses (Rental + Flight + Extra)",$0.00,$0.00,$0.00
"Apr 2026","Irregular Expenses: Move In Fees","Irregular Expenses","Move In Fees",$0.00,$0.00,$0.00
"Apr 2026","Irregular Expenses: Macbook","Irregular Expenses","Macbook",$0.00,$0.00,$0.00
"Apr 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement",$0.00,$0.00,$0.00
"Apr 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements",$0.00,-$300.00,-$300.00
"Apr 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates",$609.89,-$609.89,$0.00
"Apr 2026","Irregular Expenses: Medical","Irregular Expenses","Medical",$0.00,$0.00,$0.00
"Apr 2026","Hidden Categories: Delta SkyMiles® Platinum Card - Delta SkyMiles® Platinum Card","Hidden Categories","Delta SkyMiles® Platinum Card - Delta SkyMiles® Platinum Card",$0.00,$0.00,$0.00
